age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
46.3798147621216, State-gov,105800.02013830378, 1st-4th,9.184697815432365, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0.031839529070818384,27598.729977024184,34.87234091087869, Cuba, <=50K
49.10559576296442, Private,26580.733472684304, HS-grad,14.603702333785956, Divorced, Transport-moving, Own-child, Black, Female,0.0031329226361867177,0.40150185680894124,38.40181078277182, Columbia, >50K
41.24703774121388, Self-emp-not-inc,100878.93529812882, 11th,12.794249684748847, Never-married, Farming-fishing, Wife, White, Male,0.33018989483643385,0.27801939943912124,49.090318685873015, Iran, <=50K
52.59592256688992, Private,111925.22187932492, Bachelors,11.381085576030475, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0.019462172965715445,0.21966746988753427,40.76107803943461, United-States, <=50K
60.47857163872335, Federal-gov,61508.57264305286, Some-college,12.337414123247788, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,-0.19167968709195912,0.38581578819295703,40.970308831277116, Iran, <=50K
22.92513715596274, Self-emp-not-inc,135270.61757678844, Bachelors,16.631233166156445, Married-spouse-absent, Craft-repair, Not-in-family, White, Female,-0.01116100714730903,0.2043271650951091,63.28212273172062, ?, <=50K
41.77421405449801, Private,65655.66384066557, Some-college,10.772738546832741, Married-civ-spouse, Protective-serv, Own-child, White, Male,-0.2735437516771668,0.07175817002734836,108.13776179645127, United-States, <=50K
34.218421601567215, State-gov,86904.4588069578, Doctorate,9.220193852394948, Never-married, Exec-managerial, Not-in-family, White, Female,0.1818052860574818,0.19750226940518903,39.10185078306941, Honduras, <=50K
32.249143765622584, Private,41398.54968035156, Assoc-voc,13.799228704314839, Never-married, Prof-specialty, Wife, Black, Female,-0.12472351977312687,0.40211848606999706,37.915499613456475, United-States, >50K
24.981594375335646, Private,83220.57389787088, 9th,9.903752308779215, Never-married, Transport-moving, Husband, Other, Male,0.33974411030426965,0.26166266948750233,40.46631410463161, Taiwan, <=50K
57.59552005084837, State-gov,41814.84921100631, Masters,15.582295426999696, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,306967.3867520776,-0.10305330230613322,31.173993422426598, Cuba, <=50K
79.87848029195894, ?,76671.31710818873, Assoc-acdm,10.836361802370718, Separated, Exec-managerial, Not-in-family, Black, Female,-0.17559224268416848,0.36868340150612094,43.194628855292365, England, <=50K
39.3698364497718, Private,190695.13738307793, Some-college,11.872836767974151, Married-civ-spouse, Sales, Own-child, White, Male,0.08734739664121695,0.2814963043101525,38.433797506788856, Portugal, >50K
66.8089914107701, Private,401186.7275182364, Some-college,9.66684348705942, Married-civ-spouse, Transport-moving, Husband, Black, Female,-0.07517299656181563,0.22533057053447575,38.40317831882736, Jamaica, <=50K
76.79325369608631, Self-emp-inc,29772.140395592865, Assoc-voc,10.950919156565133, Married-AF-spouse, Exec-managerial, Unmarried, Other, Male,332.8458162627112,0.06872527874207865,38.811692725635645, ?, <=50K
28.19486442226184, Self-emp-inc,49937.409833541475, 7th-8th,14.28740943267363, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,587.1036217042148,47426.68554334005,38.32875788857253, Honduras, >50K
41.63478998046219, State-gov,79407.47005456555, Bachelors,9.87992250196271, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.11505555145752044,0.32949979721596484,10.494588461163513, ?, >50K
68.76903822185044, Local-gov,78288.27987495606, 12th,16.808339022052664, Widowed, Machine-op-inspct, Not-in-family, White, Female,-0.18479285233094755,0.3472589037945955,41.70455351775091, Philippines, <=50K
58.87807347332548, Local-gov,196802.60684394883, 7th-8th,11.407216800513934, Married-AF-spouse, Transport-moving, Unmarried, White, Male,6882.071093051856,0.12670193389051693,39.72052157130321, Mexico, <=50K
36.57978259935992, Self-emp-not-inc,109570.15156314138, 9th,16.195333414416332, Never-married, Craft-repair, Own-child, White, Male,3409.2666782355236,0.044972472069853886,20.477918709477176, Canada, <=50K
20.099110582308803, Private,101426.49240692622, 12th,14.242944274671698, Married-civ-spouse, Other-service, Not-in-family, White, Male,0.06709653553392325,44526.779003816715,67.0272746433903, Cuba, <=50K
34.5334087397323, Private,78920.1370950823, Prof-school,15.833475975959736, Married-civ-spouse, Transport-moving, Unmarried, White, Male,316.7032909775617,0.25057546853632584,53.806628132823185, Cuba, <=50K
60.06375439326537, State-gov,263338.75374261563, Prof-school,11.048806312618686, Never-married, Adm-clerical, Not-in-family, Other, Male,99254.14659900428,0.18465347953759673,43.91117576343523, Jamaica, <=50K
17.420408598243828, Self-emp-not-inc,130891.53407567336, HS-grad,9.34041082511284, Married-spouse-absent, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,1789.0261930208678,38050.11024000121,88.63022995545376, United-States, <=50K
23.917265526546323, Local-gov,11792.433539245818, Preschool,11.789382270321514, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0.032945722287238396,0.12871318730849354,40.86537663564118, Mexico, <=50K
26.32386042489904, Self-emp-not-inc,125449.10404384715, 7th-8th,9.927226603312093, Never-married, Farming-fishing, Wife, Other, Female,0.2028960230313769,6464.588041055,50.81333094226375, Iran, <=50K
85.6993191548907, Private,206947.5896599127, Bachelors,14.950145623915377, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,-0.14771879535069882,0.15409899189204432,38.5168772732341, United-States, >50K
34.24779681507405, Private,10345.638704871846, Assoc-voc,10.10403358916573, Widowed, Craft-repair, Not-in-family, White, Female,2543.5075428973837,0.28034988195813415,16.588830284049312, Jamaica, <=50K
27.982796970880987, Federal-gov,38147.94709299282, Assoc-acdm,8.929766589136253, Married-civ-spouse, ?, Own-child, White, Male,-0.0532879284075197,0.11126900778047895,39.608872211693146, India, >50K
25.445726408540462, ?,107970.1760252295, Assoc-acdm,10.548738174653149, Divorced, Craft-repair, Not-in-family, White, Female,-0.15269176521005595,29863.81245535607,68.1483770462395, Germany, <=50K
30.97199837308274, Local-gov,575077.652275914, Bachelors,11.600794933751157, Divorced, Prof-specialty, Husband, Other, Male,36153.82053982539,0.2394987879676752,18.416940602381544, Haiti, >50K
31.19822073696765, ?,188148.50574807852, Doctorate,10.111533596958779, Never-married, Other-service, Own-child, Other, Male,-0.0730302705980006,0.23365359016189127,58.23958197140034, Columbia, >50K
60.25165083304286, Federal-gov,263051.34930951503, 11th,15.68649223039294, Married-civ-spouse, Sales, Unmarried, White, Female,-0.17588891610108842,0.054248942266011305,39.512084362583884, ?, >50K
39.57502724651351, Local-gov,94551.72798740595, 7th-8th,15.867467093103972, Never-married, Protective-serv, Own-child, White, Male,0.3361333001215134,0.36997271526192643,41.6145191445116, Iran, <=50K
46.83788564728947, Private,275887.28704075445, Some-college,17.59677012728588, Married-AF-spouse, Farming-fishing, Own-child, Black, Male,1040.4920844473593,0.007452336832341119,40.409773518944824, Iran, <=50K
